
Trace>> [     72267][20210819 16:37:28:862][  4473][sendMcuMsg@850]mid 150-[1:1], datalen 7
Trace>> [     77717][20210819 16:37:34:311][  4473][sendMcuMsg@850]mid 150-[1:1], datalen 7
Trace>> [     79503][20210819 16:37:36:097][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     79719][20210819 16:37:36:314][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     79859][20210819 16:37:36:454][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     79997][20210819 16:37:36:592][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     80136][20210819 16:37:36:730][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     80275][20210819 16:37:36:869][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     80454][20210819 16:37:37:049][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     80594][20210819 16:37:37:188][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     80732][20210819 16:37:37:327][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     80872][20210819 16:37:37:466][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     81010][20210819 16:37:37:605][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     81152][20210819 16:37:37:746][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     81298][20210819 16:37:37:892][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     81437][20210819 16:37:38:031][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     81618][20210819 16:37:38:212][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     81757][20210819 16:37:38:352][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     81895][20210819 16:37:38:490][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     82037][20210819 16:37:38:631][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     82174][20210819 16:37:38:768][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     82319][20210819 16:37:38:913][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     82453][20210819 16:37:39:048][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     82588][20210819 16:37:39:183][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     82769][20210819 16:37:39:364][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     82908][20210819 16:37:39:502][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     83047][20210819 16:37:39:641][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     83187][20210819 16:37:39:781][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     83324][20210819 16:37:39:918][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     83463][20210819 16:37:40:057][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     83604][20210819 16:37:40:198][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     83738][20210819 16:37:40:333][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     83899][20210819 16:37:40:494][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     84040][20210819 16:37:40:634][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     84178][20210819 16:37:40:772][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     84318][20210819 16:37:40:913][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     84455][20210819 16:37:41:049][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     84606][20210819 16:37:41:200][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     84743][20210819 16:37:41:337][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
Trace>> [     84881][20210819 16:37:41:476][  4473][sendMcuMsg@850]mid 150-[2:1], datalen 1002
