[20210818183333] /wm/app/bin/TspService down, restart it !
[20210818183621] /wm/app/bin/TspService down, restart it !
[20210818183909] /wm/app/bin/TspService down, restart it !
[20210818184133] /wm/app/bin/TspService down, restart it !
[19700101080026] /wm/app/bin/mdmmanager down, restart it !
[19700101080027] /wm/app/bin/RemoteConfig down, restart it !
[19700101080028] /wm/app/bin/CanDispatcher down, restart it !
[19700101080029] /wm/app/bin/mculogger down, restart it !
[19700101080030] /wm/app/bin/BasicService down, restart it !
[19700101080031] /wm/app/bin/SecurityService down, restart it !
[19700101080033] /wm/app/bin/TspService down, restart it !
[19700101080034] /wm/app/bin/BTControl down, restart it !
[19700101080035] /wm/app/bin/DataMining down, restart it !
[19700101080036] /wm/app/bin/factory down, restart it !
[19700101080037] /wm/app/bin/FileUploader down, restart it !
[19700101080038] /wm/app/bin/fotaClient down, restart it !
[19700101080039] /wm/app/bin/HUService down, restart it !
[20210819154302] /wm/app/bin/RemoteControl down, restart it !
[20210819154304] /wm/app/bin/xcall down, restart it !
[20210819154305] /wm/app/bin/RemoteDiag down, restart it !
[20210819154306] /wm/app/bin/selfdiagnosis down, restart it !
[20210819154307] /wm/app/bin/GBUploader down, restart it !
[20210819154318] /wm/app/bin/BasicService down, restart it !
[20210819154632] /wm/app/bin/TspService down, restart it !
[20210819154856] /wm/app/bin/TspService down, restart it !
[20210819155120] /wm/app/bin/TspService down, restart it !
[20210819155408] /wm/app/bin/TspService down, restart it !
[20210819155632] /wm/app/bin/TspService down, restart it !
[20210819155856] /wm/app/bin/TspService down, restart it !
[20210819160120] /wm/app/bin/TspService down, restart it !
[20210819160408] /wm/app/bin/TspService down, restart it !
[20210819160632] /wm/app/bin/TspService down, restart it !
[20210819160920] /wm/app/bin/TspService down, restart it !
[20210819161144] /wm/app/bin/TspService down, restart it !
[20210819161408] /wm/app/bin/TspService down, restart it !
[20210819161657] /wm/app/bin/TspService down, restart it !
[20210819161921] /wm/app/bin/TspService down, restart it !
[20210819162209] /wm/app/bin/TspService down, restart it !
[20210819162433] /wm/app/bin/TspService down, restart it !
[20210819162656] /wm/app/bin/TspService down, restart it !
[20210819162920] /wm/app/bin/TspService down, restart it !
[20210819163207] /wm/app/bin/TspService down, restart it !
[20210819163434] /wm/app/bin/TspService down, restart it !
[19700101085424] /wm/app/bin/mdmmanager down, restart it !
[19700101085425] /wm/app/bin/RemoteConfig down, restart it !
[19700101085426] /wm/app/bin/CanDispatcher down, restart it !
[19700101085427] /wm/app/bin/mculogger down, restart it !
[19700101085428] /wm/app/bin/BasicService down, restart it !
[19700101085429] /wm/app/bin/SecurityService down, restart it !
[19700101085430] /wm/app/bin/TspService down, restart it !
[19700101085431] /wm/app/bin/BTControl down, restart it !
[19700101085432] /wm/app/bin/DataMining down, restart it !
[19700101085433] /wm/app/bin/factory down, restart it !
[19700101085435] /wm/app/bin/FileUploader down, restart it !
[19700101085436] /wm/app/bin/fotaClient down, restart it !
[19700101085437] /wm/app/bin/HUService down, restart it !
[20210819163700] /wm/app/bin/RemoteControl down, restart it !
[20210819163702] /wm/app/bin/xcall down, restart it !
[20210819163703] /wm/app/bin/RemoteDiag down, restart it !
[20210819163704] /wm/app/bin/selfdiagnosis down, restart it !
[20210819163705] /wm/app/bin/GBUploader down, restart it !
[20210819163712] /wm/app/bin/RemoteConfig down, restart it !
[20210819163715] /wm/app/bin/BasicService down, restart it !
[19700101080026] /wm/app/bin/mdmmanager down, restart it !
[19700101080027] /wm/app/bin/RemoteConfig down, restart it !
[19700101080028] /wm/app/bin/CanDispatcher down, restart it !
[19700101080029] /wm/app/bin/mculogger down, restart it !
[19700101080030] /wm/app/bin/BasicService down, restart it !
[19700101080031] /wm/app/bin/SecurityService down, restart it !
[19700101080032] /wm/app/bin/TspService down, restart it !
[19700101080033] /wm/app/bin/BTControl down, restart it !
[19700101080035] /wm/app/bin/DataMining down, restart it !
[19700101080036] /wm/app/bin/factory down, restart it !
[19700101080037] /wm/app/bin/FileUploader down, restart it !
[19700101080038] /wm/app/bin/fotaClient down, restart it !
[19700101080039] /wm/app/bin/HUService down, restart it !
[20210819164013] /wm/app/bin/RemoteControl down, restart it !
[20210819164014] /wm/app/bin/xcall down, restart it !
